,0
NR_Scan_PCI_SortedBy_RSRP_0,8715.630153184567
NR_Scan_PCI_SortedBy_RSRP_1,7927.2623027927675
NR_Scan_PCI_SortedBy_RSRP_2,3274.791947065243
NR_Scan_PCI_SortedBy_RSRP_3,1065.6826130372785
NR_Scan_PCI_SortedBy_RSRP_4,494.43733624492444
NR_Scan_PCI_SortedBy_RSRP_6,440.42563620589937
NR_Scan_PCI_SortedBy_RSRP_5,307.01158649034903
NR_Scan_SSB_RSRP_SortedBy_RSRP_0,250.01507370149105
NR_Scan_SSB_RSRP_SortedBy_RSRP_1,154.54975739073691
NR_Scan_SSB_RSRP_SortedBy_RSRP_2,99.74554046374368
NR_Scan_SSB_SINR_SortedBy_RSRP_0,94.98025313849516
NR_Scan_SSB_RSRP_SortedBy_RSRP_3,68.03259972888446
NR_Scan_SSB_SINR_SortedBy_RSRP_1,56.16302143703345
NR_Scan_SSB_SINR_SortedBy_RSRP_2,49.42541752361541
NR_Scan_SSB_RSRP_SortedBy_RSRP_4,38.19188395049857
NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,36.893442807949185
NR_Scan_SSB_SINR_SortedBy_RSRP_3,36.04460239175302
NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,31.338887159020455
NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,25.24310201338104
NR_Scan_SSB_RSRP_SortedBy_RSRP_6,24.46123071524966
