Latitude,Longitude,UL_NR_UE_PCI_0,UL_NR_UE_RSRP_0,UL_NR_UE_RSRQ_0,UL_NR_UE_SINR_0,UL_NR_UE_Nbr_PCI_0,UL_NR_UE_Nbr_PCI_1,UL_NR_UE_Nbr_PCI_2,UL_NR_UE_Nbr_PCI_3,UL_NR_UE_Nbr_RSRP_0,UL_NR_UE_Nbr_RSRP_1,UL_NR_UE_Nbr_RSRP_2,UL_NR_UE_Nbr_RSRP_3,UL_NR_UE_Nbr_RSRQ_0,UL_NR_UE_Nbr_RSRQ_1,UL_NR_UE_Nbr_RSRQ_2,UL_NR_UE_Nbr_RSRQ_3,UL_NR_UE_Throughput_PDCP_DL,UL_NR_UE_RB_Num_DL_0,UL_NR_UE_Pathloss_DL_0,UL_NR_UE_Power_Tx_PUSCH_0,UL_App_Throughput_UL,UL_NR_UE_PCI_0_lat,UL_NR_UE_PCI_0_lon,UL_NR_UE_PCI_0_azimuth,UL_NR_UE_PCI_0_height,UL_NR_UE_Nbr_PCI_0_lat,UL_NR_UE_Nbr_PCI_0_lon,UL_NR_UE_Nbr_PCI_0_azimuth,UL_NR_UE_Nbr_PCI_0_height,UL_NR_UE_Nbr_PCI_1_lat,UL_NR_UE_Nbr_PCI_1_lon,UL_NR_UE_Nbr_PCI_1_azimuth,UL_NR_UE_Nbr_PCI_1_height,UL_NR_UE_Nbr_PCI_2_lat,UL_NR_UE_Nbr_PCI_2_lon,UL_NR_UE_Nbr_PCI_2_azimuth,UL_NR_UE_Nbr_PCI_2_height,UL_NR_UE_Nbr_PCI_3_lat,UL_NR_UE_Nbr_PCI_3_lon,UL_NR_UE_Nbr_PCI_3_azimuth,UL_NR_UE_Nbr_PCI_3_height
41.09892,29.02584,19.0,-149.75,-20.325,,139.0,0.0,0.0,0.0,-152.05,-200.0,-200.0,-200.0,-20.575,-30.0,-30.0,-30.0,,36.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.0254,11.333333333333334,-188.73333333333335,-28.366666666666664,-9.3,6.666666666666667,0.0,0.0,0.0,-188.5,-200.0,-200.0,-200.0,-28.166666666666668,-30.0,-30.0,-30.0,0.0,16.0,151.0,22.5,0.0,6.8509115666666665,4.8379722166666665,42.5,3.0,6.851181216666667,4.837110766666666,43.333333333333336,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02551,15.11111111111111,-186.1222222222222,-28.944444444444443,-11.45,4.444444444444445,0.0,0.0,0.0,-192.66666666666666,-200.0,-200.0,-200.0,-29.04444444444444,-30.0,-30.0,-30.0,0.0,16.0,154.3,22.5,0.0,9.134548755555555,6.450629622222222,56.666666666666664,4.0,4.5674541444444445,3.224740511111111,28.88888888888889,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02557,22.666666666666668,-178.23333333333335,-27.46666666666667,-11.1,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,1.22,16.0,,,,13.701823133333333,9.675944433333333,85.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02564,11.333333333333334,-189.45000000000002,-29.05,-11.3,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,16.0,153.1,22.5,0.0,6.8509115666666665,4.8379722166666665,42.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02529,17.0,-183.21666666666667,-27.71666666666667,-7.633333333333333,3.3333333333333335,0.0,0.0,0.0,-194.40833333333333,-200.0,-200.0,-200.0,-29.241666666666664,-30.0,-30.0,-30.0,0.36333333333333334,16.0,150.46666666666667,22.5,0.0,10.27636735,7.256958325,63.75,4.5,3.4255906083333336,2.418555383333333,21.666666666666668,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02569,22.666666666666668,-180.83333333333334,-29.96666666666667,-13.3,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.64,15.0,,,,13.701823133333333,9.675944433333333,85.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02575,9.714285714285714,-191.68571428571428,-29.857142857142858,-11.5,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,15.5,154.5,22.5,0.0,5.872209914285714,4.146833328571429,36.42857142857143,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09897,29.02587,17.0,-183.2375,-27.75,-6.4,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,16.0,152.8,22.5,0.0,10.27636735,7.256958325,63.75,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899,29.02517,8.5,-191.575,-28.85,-6.3,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,1.375,19.5,147.9,22.5,0.0,5.138183675,3.6284791625,31.875,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
