,0
NR_UE_Nbr_PCI_3,3158.588235294118
NR_UE_Nbr_PCI_2,994.023844755422
NR_UE_Nbr_PCI_0,972.9702957585603
NR_UE_PCI_0,882.1735837360064
NR_UE_Nbr_PCI_1,643.720898036159
NR_UE_Nbr_RSRP_0,257.9041500974453
NR_UE_Nbr_RSRP_2,253.69501965923982
NR_UE_Nbr_RSRP_1,253.20233304081935
NR_UE_RSRP_0,215.952762169164
NR_UE_SINR_0,102.99697582277314
NR_UE_Nbr_RSRQ_1,38.66389991660625
NR_UE_Nbr_RSRQ_2,34.438670993108694
NR_UE_Nbr_RSRQ_0,33.933807865559125
NR_UE_Nbr_RSRP_3,10.383529411764705
NR_UE_RSRQ_0,5.106843692398131
NR_UE_Nbr_RSRQ_3,2.0226143790849664
Longitude,7.044922551699052e-06
Latitude,2.632563597691885e-06
