Latitude,Longitude,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_PCI_0_lat,NR_UE_PCI_0_lon,NR_UE_PCI_0_azimuth,NR_UE_PCI_0_height,NR_UE_Nbr_PCI_0_lat,NR_UE_Nbr_PCI_0_lon,NR_UE_Nbr_PCI_0_azimuth,NR_UE_Nbr_PCI_0_height,NR_UE_Nbr_PCI_1_lat,NR_UE_Nbr_PCI_1_lon,NR_UE_Nbr_PCI_1_azimuth,NR_UE_Nbr_PCI_1_height,NR_UE_Nbr_PCI_2_lat,NR_UE_Nbr_PCI_2_lon,NR_UE_Nbr_PCI_2_azimuth,NR_UE_Nbr_PCI_2_height,NR_UE_Nbr_PCI_3_lat,NR_UE_Nbr_PCI_3_lon,NR_UE_Nbr_PCI_3_azimuth,NR_UE_Nbr_PCI_3_height
41.10723,29.02949,48,-84.4,-11.0,6.9,76,0,0,0,-96.9,-200.0,-200.0,-200.0,-16.1,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-85.1,-11.2,,76,0,0,0,-95.3,-200.0,-200.0,-200.0,-16.2,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-86.2,-11.5,5.6,76,0,0,0,-96.6,-200.0,-200.0,-200.0,-17.5,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-86.7,-11.6,9.9,76,0,0,0,-96.1,-200.0,-200.0,-200.0,-16.3,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-85.8,-10.6,13.4,76,0,0,0,-100.4,-200.0,-200.0,-200.0,-17.8,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-86.7,-10.5,10.6,76,0,0,0,-100.0,-200.0,-200.0,-200.0,-16.3,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-88.5,-10.6,12.6,76,0,0,0,-98.8,-200.0,-200.0,-200.0,-17.4,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-86.2,-10.5,11.6,76,0,0,0,-97.8,-200.0,-200.0,-200.0,-14.3,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-87.1,-10.7,11.8,76,0,0,0,-95.9,-200.0,-200.0,-200.0,-12.2,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.10723,29.02949,48,-88.8,-10.9,12.2,76,0,0,0,-97.3,-200.0,-200.0,-200.0,-14.9,-30.0,-30.0,-30.0,41.1080861,29.0281222,110.0,6.0,41.1054694,29.0278333,340.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
