Latitude,Longitude,DL_NR_UE_PCI_0,DL_NR_UE_RSRP_0,DL_NR_UE_RSRQ_0,DL_NR_UE_SINR_0,DL_NR_UE_Nbr_PCI_0,DL_NR_UE_Nbr_PCI_1,DL_NR_UE_Nbr_PCI_2,DL_NR_UE_Nbr_PCI_3,DL_NR_UE_Nbr_RSRP_0,DL_NR_UE_Nbr_RSRP_1,DL_NR_UE_Nbr_RSRP_2,DL_NR_UE_Nbr_RSRP_3,DL_NR_UE_Nbr_RSRQ_0,DL_NR_UE_Nbr_RSRQ_1,DL_NR_UE_Nbr_RSRQ_2,DL_NR_UE_Nbr_RSRQ_3,DL_NR_UE_Throughput_PDCP_DL,DL_NR_UE_RB_Num_DL_0,DL_NR_UE_Pathloss_DL_0,DL_NR_UE_Power_Tx_PUSCH_0,DL_App_Throughput_DL,DL_NR_UE_PCI_0_lat,DL_NR_UE_PCI_0_lon,DL_NR_UE_PCI_0_azimuth,DL_NR_UE_PCI_0_height,DL_NR_UE_Nbr_PCI_0_lat,DL_NR_UE_Nbr_PCI_0_lon,DL_NR_UE_Nbr_PCI_0_azimuth,DL_NR_UE_Nbr_PCI_0_height,DL_NR_UE_Nbr_PCI_1_lat,DL_NR_UE_Nbr_PCI_1_lon,DL_NR_UE_Nbr_PCI_1_azimuth,DL_NR_UE_Nbr_PCI_1_height,DL_NR_UE_Nbr_PCI_2_lat,DL_NR_UE_Nbr_PCI_2_lon,DL_NR_UE_Nbr_PCI_2_azimuth,DL_NR_UE_Nbr_PCI_2_height,DL_NR_UE_Nbr_PCI_3_lat,DL_NR_UE_Nbr_PCI_3_lon,DL_NR_UE_Nbr_PCI_3_azimuth,DL_NR_UE_Nbr_PCI_3_height
41.09892,29.02584,0.0,-200.0,-30.0,,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.0254,15.11111111111111,-184.82222222222222,-27.733333333333334,-8.7,8.88888888888889,0.0,0.0,0.0,-185.4888888888889,-200.0,-200.0,-200.0,-28.444444444444443,-30.0,-30.0,-30.0,4239.36,239.5,152.60000000000002,22.5,5765.55,9.134548755555555,6.450629622222222,56.666666666666664,4.0,9.134908288888889,6.449481022222222,57.77777777777778,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02551,11.333333333333334,-189.25,-28.883333333333336,-8.3,6.666666666666667,0.0,0.0,0.0,-189.48333333333335,-200.0,-200.0,-200.0,-29.166666666666668,-30.0,-30.0,-30.0,5222.4,258.0,153.1,22.5,,6.8509115666666665,4.8379722166666665,42.5,3.0,6.851181216666667,4.837110766666666,43.333333333333336,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02557,22.666666666666668,-178.4,-27.633333333333336,-12.0,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,152.4,22.5,4829.57,13.701823133333333,9.675944433333333,85.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02564,11.333333333333334,-189.20000000000002,-28.8,-9.3,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,3123.265,262.5,154.8,22.5,,6.8509115666666665,4.8379722166666665,42.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02529,15.11111111111111,-184.7111111111111,-27.711111111111112,-9.05,8.88888888888889,0.0,0.0,0.0,-186.7444444444444,-200.0,-200.0,-200.0,-29.555555555555557,-30.0,-30.0,-30.0,8540.16,239.5,151.45,22.5,6653.94,9.134548755555555,6.450629622222222,56.666666666666664,4.0,9.134908288888889,6.449481022222222,57.77777777777778,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02569,22.666666666666668,-177.46666666666667,-26.766666666666666,-10.3,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,151.3,22.5,1448.09,13.701823133333333,9.675944433333333,85.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02575,15.11111111111111,-185.64444444444445,-28.444444444444443,-9.850000000000001,0.0,0.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,2048.015,232.5,153.2,22.5,346.71,9.134548755555555,6.450629622222222,56.666666666666664,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09897,29.02587,8.5,-191.4375,-28.675,-7.5,5.0,0.0,0.0,0.0,-191.7125,-200.0,-200.0,-200.0,-28.85,-30.0,-30.0,-30.0,1904.6399999999999,233.0,154.05,22.5,1705.92,5.138183675,3.6284791625,31.875,2.25,5.1383859125,3.627833075,32.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899,29.02517,11.333333333333334,-188.04999999999998,-27.8,-6.8,6.666666666666667,0.0,0.0,0.0,-188.5,-200.0,-200.0,-200.0,-28.266666666666666,-30.0,-30.0,-30.0,6379.615,177.5,147.3,22.5,,6.8509115666666665,4.8379722166666665,42.5,3.0,6.851181216666667,4.837110766666666,43.333333333333336,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
